hostname,country
garr.it,Italy
ethz.ch,Switzerland
kth.se,Sweden
mcgill.ca,Canada
unam.mx,Mexico
nic.cl,Chile
sanren.ac.za,South Africa
rnp.br,Brazil
sg.pool.ntp.org,Singapore
www.ntu.edu.tw,Taiwan
kantei.go.jp,Japan
nla.gov.au,Australia
mirror.csclub.uwaterloo.ca,Canada
mirror.techrich.hk,US
gnu.c3sl.ufpr.br,Brazil
mirror.marwan.ma,Morocco
mirrors.nju.edu.cn,China
mirrors.tuna.tsinghua.edu.cn,China
mirrors.hopbox.net,India
ftp.jaist.ac.jp,Japan
mirror.truenetwork.ru,Russia
mirror.freedif.org,Singapore
ftp.kaist.ac.kr,South Korea
mirror.ossplanet.net,Taiwan
mirror.twds.com.tw,Taiwan
mirror.cyberbits.asia,Thailand
mirror.easyname.at,Austria
ftp.sotirov-bg.net,Bulgaria
sotirov-bg.net,Bulgaria
www.ftp.klid.dk,Denmark
nic.funet.fi,Finland
mirror.ibcp.fr,France
mirror.cyberbits.eu,France
mirror.diyarciftci.xyz,Germany
mirror.dogado.de,Germany
ftp.fau.de,Germany
ftp.cc.uoc.gr,Greece
mirror.ihost.md,Republic of Moldova
mirror.lyrahosting.com,Netherlands
ftp.nluug.nl,Netherlands
gnuftp.uib.no,Norway
sunsite.icm.edu.pl,Poland
www.ftp.man.poznan.pl.Poland,
ftp.eq.uc.pt,Portugal
mirrors.nav.ro,Romania
mirror.tochlab.net,Russia
ftp.gnu.org.uk,UK
mirrors.middlendian.com,Australia
mirror.lagoon.nc,New Caledonia
ftp.dk.debian.org,Denmark
ftp.us.debian.org,US
gnu.mirror.constant.com,US
mirror.cs.odu.edu,US
mirror2.evolution-host.com,Canada
uaeu.ac.ae,UAE
weizmann.ac.il,Israel
